"Transect_Number","Date","Number_Holes_Observed","Start_Time","End_Time","Search_Time","Number_Holes_Estimated_From_Model"
"1","11/07/2016",9,2016-07-19 12:41:14,2016-07-19 13:33:10,51.9333333333333,22.2898125
"1","12/07/2016",2,2016-07-19 13:21:49,2016-07-19 13:56:23,34.5666666666667,22.2898125
"1","13/07/2016",3,2016-07-19 13:18:21,2016-07-19 13:54:56,36.5833333333333,22.2898125
"1","14/07/2016",5,2016-07-19 12:59:00,2016-07-19 13:19:32,20.5333333333333,22.2898125
"1","16/07/2016",1,2016-07-19 12:49:50,2016-07-19 12:50:09,0.316666666666667,22.2898125
"1","17/07/2016",1,2016-07-19 15:06:28,2016-07-19 15:17:49,11.35,22.2898125
"1","18/07/2016",4,2016-07-19 16:07:53,2016-07-19 16:27:37,19.7333333333333,22.2898125
"1","19/07/2016",2,2016-07-19 16:15:31,2016-07-19 16:26:57,11.4333333333333,22.2898125
"2","11/07/2016",0,NA,NA,NA,9.9070875
"2","12/07/2016",0,NA,NA,NA,9.9070875
"2","13/07/2016",1,2016-07-19 15:34:22,2016-07-19 15:51:44,17.3666666666667,9.9070875
"2","14/07/2016",0,NA,NA,NA,9.9070875
"2","16/07/2016",0,NA,NA,NA,9.9070875
"2","17/07/2016",0,NA,NA,NA,9.9070875
"2","18/07/2016",3,2016-07-19 16:11:03,2016-07-19 16:29:19,18.2666666666667,9.9070875
"2","19/07/2016",1,2016-07-19 16:02:17,2016-07-19 16:15:20,13.05,9.9070875
"3","11/07/2016",3,2016-07-19 13:40:26,2016-07-19 13:55:47,15.35,16.553425
"3","12/07/2016",4,2016-07-19 14:01:49,2016-07-19 14:27:07,25.3,16.553425
"3","13/07/2016",0,NA,NA,NA,16.553425
"3","14/07/2016",2,2016-07-19 13:24:18,2016-07-19 13:37:52,13.5666666666667,16.553425
"3","16/07/2016",0,NA,NA,NA,16.553425
"3","17/07/2016",2,2016-07-19 14:50:59,2016-07-19 15:00:35,9.6,16.553425
"3","18/07/2016",0,NA,NA,NA,16.553425
"3","19/07/2016",5,2016-07-19 15:48:23,2016-07-19 16:04:53,16.5,16.553425
"4","11/07/2016",0,NA,NA,NA,20.4286
"4","12/07/2016",1,2016-07-19 13:42:56,2016-07-19 14:07:42,24.7666666666667,20.4286
"4","13/07/2016",10,2016-07-19 15:03:05,2016-07-19 15:27:27,24.3666666666667,20.4286
"4","14/07/2016",0,NA,NA,NA,20.4286
"4","16/07/2016",0,NA,NA,NA,20.4286
"4","17/07/2016",0,NA,NA,NA,20.4286
"4","18/07/2016",9,2016-07-19 15:41:38,2016-07-19 16:05:55,24.2833333333333,20.4286
"4","19/07/2016",0,NA,NA,NA,20.4286
"5","11/07/2016",0,NA,NA,NA,33.3840375
"5","12/07/2016",1,2016-07-19 14:31:51,2016-07-19 14:51:48,19.95,33.3840375
"5","13/07/2016",13,2016-07-19 14:29:10,2016-07-19 15:04:47,35.6166666666667,33.3840375
"5","14/07/2016",4,2016-07-19 13:42:17,2016-07-19 14:08:01,25.7333333333333,33.3840375
"5","16/07/2016",1,2016-07-19 15:06:26,2016-07-19 15:22:18,15.8666666666667,33.3840375
"5","17/07/2016",9,2016-07-19 14:05:30,2016-07-19 14:45:28,39.9666666666667,33.3840375
"5","18/07/2016",12,2016-07-19 15:01:55,2016-07-19 15:35:24,33.4833333333333,33.3840375
"5","19/07/2016",10,2016-07-19 15:19:08,2016-07-19 15:43:15,24.1166666666667,33.3840375
"6","11/07/2016",0,NA,NA,NA,23.8837125
"6","12/07/2016",1,2016-07-19 14:13:50,2016-07-19 14:40:41,26.85,23.8837125
"6","13/07/2016",3,2016-07-19 14:33:04,2016-07-19 14:55:57,22.8833333333333,23.8837125
"6","14/07/2016",0,NA,NA,NA,23.8837125
"6","16/07/2016",0,NA,NA,NA,23.8837125
"6","17/07/2016",1,2016-07-19 14:28:32,2016-07-19 14:53:21,24.8166666666667,23.8837125
"6","18/07/2016",12,2016-07-19 15:01:39,2016-07-19 15:36:19,34.6666666666667,23.8837125
"6","19/07/2016",10,2016-07-19 14:44:44,2016-07-19 15:37:01,52.2833333333333,23.8837125
"7","11/07/2016",7,2016-07-19 14:39:15,2016-07-19 14:57:43,18.4666666666667,34.649525
"7","12/07/2016",7,2016-07-19 14:57:30,2016-07-19 15:19:42,22.2,34.649525
"7","13/07/2016",3,2016-07-19 15:11:38,2016-07-19 15:29:38,18,34.649525
"7","14/07/2016",9,2016-07-19 14:13:36,2016-07-19 14:41:43,28.1166666666667,34.649525
"7","16/07/2016",9,2016-07-19 14:29:50,2016-07-19 15:00:41,30.85,34.649525
"7","17/07/2016",10,2016-07-19 13:25:34,2016-07-19 13:54:31,28.95,34.649525
"7","18/07/2016",7,2016-07-19 14:03:26,2016-07-19 15:01:44,58.3,34.649525
"7","19/07/2016",4,2016-07-19 14:41:23,2016-07-19 14:44:00,2.61666666666667,34.649525
"8","11/07/2016",7,2016-07-19 14:53:49,2016-07-19 15:12:58,19.15,57.4368
"8","12/07/2016",1,2016-07-19 14:45:38,2016-07-19 15:01:25,15.7833333333333,57.4368
"8","13/07/2016",6,2016-07-19 13:54:57,2016-07-19 14:26:20,31.3833333333333,57.4368
"8","14/07/2016",7,2016-07-19 13:48:27,2016-07-19 14:16:58,28.5166666666667,57.4368
"8","16/07/2016",9,2016-07-19 14:34:08,2016-07-19 15:17:15,43.1166666666667,57.4368
"8","17/07/2016",6,2016-07-19 13:41:05,2016-07-19 14:23:33,42.4666666666667,57.4368
"8","18/07/2016",44,2016-07-19 13:58:36,2016-07-19 14:57:48,59.2,57.4368
"8","19/07/2016",11,2016-07-19 14:41:54,2016-07-19 15:15:00,33.1,57.4368
"9","11/07/2016",0,NA,NA,NA,133.6035875
"9","12/07/2016",0,NA,NA,NA,133.6035875
"9","13/07/2016",0,NA,NA,NA,133.6035875
"9","14/07/2016",2,2016-07-19 15:51:20,2016-07-19 16:03:36,12.2666666666667,133.6035875
"9","16/07/2016",82,2016-07-19 14:45:29,2016-07-19 15:59:50,74.35,133.6035875
"9","17/07/2016",0,NA,NA,NA,133.6035875
